"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""12727.1""","""@39540 / Infinity Neuromotor D""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","867.88","0.00","","","0.00","867.88","-867.88","","","1407.30","38.33","02/28/26","6430","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","0.00","","","8.500",""
"""12728.1""","""@39880 / Select Suites - Patti""","3","0","0.00","0.00","0.00","","","0.00","0.00","174.00","3043.76","0.00","","","0.00","3217.76","-3217.76","","","5225.31","38.42","02/13/26","5258","PATTISONID","","0.00","0.00","0.00","","","30.000",""
"""12728.2""","""@39883 / Select Suites - Patti""","1","0","0.00","0.00","0.00","","","0.00","0.00","259.20","2750.74","0.00","","569.16","0.00","3579.10","-3579.10","","","6397.35","44.05","02/13/26","5258","PATTISONID","","0.00","0.00","0.00","","","37.500",""
"""12728.3""","""@39885 / Select Suites - Patti""","1","0","0.00","0.00","0.00","","","0.00","0.00","351.13","2384.14","0.00","","306.24","0.00","3041.51","-3041.51","","","5383.61","43.50","02/13/26","5258","PATTISONID","","0.00","0.00","0.00","","","33.500",""
"""12728.4""","""@39887 / Select Suites - Patti""","1","0","0.00","0.00","0.00","","","0.00","0.00","351.13","2046.38","0.00","","267.76","0.00","2665.27","-2665.27","","","4633.61","42.48","02/13/26","5258","PATTISONID","","0.00","0.00","0.00","","","28.000",""
"""12728.5""","""@39987 / Select Suites - Patti""","3","0","0.00","0.00","0.00","","","0.00","0.00","174.00","7034.42","0.00","","","0.00","7208.42","-7208.42","","","12236.37","41.09","02/13/26","5258","PATTISONID","","0.00","0.00","0.00","","","61.500",""
"""12730.1""","""@40514 / DECKS & DOCKS COMPANY""","1","0","0.00","25.00","30.91","","","0.00","55.91","38.48","803.19","0.00","","105.00","0.00","946.67","-890.76","","","1613.28","41.32","03/17/26","6431","DECKS & DOCKS COMPANY","","0.00","0.00","55.91","","","10.500","1.000"
"""12730.2""","""@40563 / DECKS & DOCKS COMPANY""","1","0","122.41","0.00","0.00","","","0.00","122.41","60.56","170.62","0.00","","137.00","0.00","368.18","-245.77","","","639.39","42.42","03/17/26","6431","DECKS & DOCKS COMPANY","","0.00","0.00","122.41","","","2.250",""
"""12730.3""","""@40565 / DECKS & DOCKS COMPANY""","1","0","0.00","25.25","23.48","","","0.00","48.73","0.00","0.00","0.00","","","0.00","0.00","48.73","","","150.00","100.00","03/17/26","6431","DECKS & DOCKS COMPANY","","0.00","0.00","48.73","","","0.000","1.000"
"""12730.4""","""@40626 / DECKS & DOCKS COMPANY""","1","0","0.00","18.75","28.07","","","0.00","46.82","29.00","1058.81","0.00","","4347.37","0.00","5435.18","-5388.36","","","8080.37","32.74","03/17/26","6431","DECKS & DOCKS COMPANY","","0.00","0.00","46.82","","","9.500","0.750"
"""12731.1""","""@40661 / LIGHTBRITE COFFEE ROA""","1","0","106.90","145.65","156.36","","","0.00","408.91","339.77","458.12","0.00","","","0.00","797.89","-388.98","","","1464.98","45.54","02/05/26","6228","LIGHTBRITE COFFEE ROASTERS","","0.00","0.00","408.91","","","8.000","6.000"
"""12732.1""","""@40693 / CAT SCALE""","6","6","9633.06","0.00","0.00","","","0.00","9633.06","0.00","0.00","0.00","","","0.00","0.00","9633.06","22740.00","57.64","22740.00","100.00","02/09/26","18600","CAT SCALE","C","0.00","0.00","9633.06","02/06/26","12732","0.000",""
"""12733.1""","""@40692 / CAT #401""","1","1","1605.51","0.00","0.00","","","0.00","1605.51","0.00","0.00","0.00","","","0.00","0.00","1605.51","3790.00","57.64","3790.00","100.00","02/09/26","18600","CAT SCALE","C","0.00","0.00","1605.51","02/11/26","12733","0.000",""
"""12735.1""","""@40663 / CAT #1191""","1","0","153.15","297.28","305.81","","","0.00","756.24","0.00","0.00","0.00","","","0.00","0.00","756.24","","","3790.00","100.00","02/10/26","18600","CAT SCALE","","0.00","0.00","756.24","","","0.000","12.250"
"""12736.1""","""@40682 / Boot Barn""","1","0","0.00","0.00","0.00","","","0.00","0.00","29.00","417.27","0.00","","","0.00","446.27","-446.27","","","751.25","40.60","02/13/26","3798","PACIFIC NEON","","0.00","0.00","0.00","","","3.550",""
"""12736.2""","""@40684 / Boot Barn""","1","0","0.00","0.00","0.00","","","0.00","0.00","14.50","309.45","0.00","","","0.00","323.95","-323.95","","","540.57","40.07","03/16/26","3798","PACIFIC NEON","","0.00","0.00","0.00","","","2.500",""
"""12736.3""","""@40690 / Boot Barn""","1","0","0.00","25.25","23.48","","","0.00","48.73","0.00","0.00","0.00","","","0.00","0.00","48.73","","","150.00","100.00","04/15/26","3798","PACIFIC NEON","","0.00","0.00","48.73","","","0.000","1.000"
"""12737.1""","""@40727 / ULTA BEAUTY""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","679.07","0.00","","","0.00","679.07","-679.07","","","1115.03","39.10","03/15/26","2535","ATLAS SIGN INDUSTRIES","","0.00","0.00","0.00","","","7.000",""
"""12737.2""","""@40728 / ULTA BEAUTY""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","200.00","100.00","03/15/26","2535","ATLAS SIGN INDUSTRIES","","0.00","0.00","0.00","","","0.000",""
"""12738.1""","""@40696 / Campbell Supply CO""","1","1","52.00","0.00","0.00","","","0.00","52.00","0.00","38.55","0.00","","52.00","0.00","90.55","-38.55","169.11","69.25","169.11","46.45","03/11/26","6337","CAMPBELL SUPPLY CO","C","0.00","0.00","52.00","02/12/26","12738","0.750",""
"""12739.1""","""@40701 / CAT #1236""","1","1","1216.30","0.00","0.00","","","0.00","1216.30","0.00","0.00","0.00","","","0.00","0.00","1216.30","1982.00","38.63","1982.00","100.00","02/10/26","18600","CAT SCALE","C","0.00","0.00","1216.30","02/11/26","12739","0.000",""
"""12740.1""","""@40702 / CAT #225""","1","1","1605.51","0.00","0.00","","","0.00","1605.51","0.00","0.00","0.00","","","0.00","0.00","1605.51","3790.00","57.64","3790.00","100.00","02/10/26","18600","CAT SCALE","C","0.00","0.00","1605.51","02/11/26","12740","0.000",""
"""12741.1""","""@40703 / CAT #380""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","2108.00","100.00","02/17/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12741.2""","""@Plates / CAT #380""","1","0","0.00","69.89","82.65","","","0.00","152.54","0.00","0.00","0.00","","","0.00","0.00","152.54","","","0.00","","02/17/26","18600","CAT SCALE","","0.00","0.00","152.54","","","0.000","3.250"
"""12742.1""","""@40700 / City of Osceola""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","1509.60","0.00","552.60","2396.39","0.00","4458.59","-4458.59","","","6986.38","36.18","04/15/26","6422","CITY OF OSCEOLA","","0.00","0.00","0.00","","","10.000",""
"""12743.1""","""@40705 / Verizon Wireless -Eyc""","1","0","0.00","0.00","0.00","","","0.00","0.00","29.00","579.56","0.00","","903.68","0.00","1512.24","-1512.24","","","2429.65","37.76","03/15/26","2958","EYCHANER PROPERTIES","","0.00","0.00","0.00","","","4.500",""
"""12744.1""","""@40718 / CAT #765""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","1982.00","100.00","02/12/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12745.1""","""@40650 / ALRazi Academy""","1","0","0.00","0.00","0.00","","","0.00","0.00","144.40","950.92","0.00","","1714.00","0.00","2809.32","-2809.32","","","4688.22","40.08","03/24/26","6432","UNITED WAY OF CENTRAL IOWA","","0.00","0.00","0.00","","","9.500",""
"""12745.2""","""@40681 / ALRazi Academy""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","200.00","100.00","04/15/26","6432","UNITED WAY OF CENTRAL IOWA","","0.00","0.00","0.00","","","0.000",""
"""12746.1""","""@40726 / CAT #242""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","21820.00","100.00","02/23/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12747.1""","""@40695 / Mom´s Meals""","1","0","0.00","0.00","0.00","","","0.00","0.00","313.79","996.12","0.00","","945.37","0.00","2255.28","-2255.28","","","3621.49","37.73","03/15/26","5562","MOM'S MEALS","","0.00","0.00","0.00","","","14.500",""
"""12748.1""","""@40738 / CAT #2117""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","1970.00","100.00","02/18/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
