"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/16"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""7832.1""","""@22678 / CAT #165""","1","","8.13","53.63","49.88","","0.00","0.00","111.64","0.00","0.00","0.00","","","0.00","0.00","111.64","1171.00","90.47","1171.00","100.00","01/03/17","18600","CAT SCALE","C","0.00","0.00","111.64","01/04/17","7832","0.000","4.250"
"""SC4626.1""","""@SERVICE / PETRO TRUCK STOP""","1","","0.00","0.00","0.00","","323.75","0.00","323.75","0.00","0.00","0.00","","","0.00","0.00","323.75","0.00","","0.00","","11/02/16","18600","CAT SCALE","C","0.00","0.00","323.75","01/24/17","SC4626","0.000",""
"""SC4689.1""","""@SERVICE / BANK OF THE WEST""","1","","106.50","152.63","283.90","","200.00","0.00","743.03","0.00","0.00","0.00","","","0.00","0.00","743.03","755.00","1.59","755.00","100.00","12/02/16","2371","COAST SIGN LLC","C","0.00","0.00","743.03","01/04/17","SC4689","0.000","9.250"
"""SC4689.2""","""@tm / BANK OF THE WEST""","1","","0.00","22.50","41.85","","","0.00","64.35","0.00","0.00","0.00","","","0.00","0.00","64.35","412.50","84.40","412.50","100.00","12/22/16","2371","COAST SIGN LLC","C","0.00","0.00","64.35","01/07/17","SC4689-2","0.000","1.250"
"""SC4717.1""","""@SERVICE / TED´S CONEY ISLAND""","1","","0.00","66.00","122.76","","","0.00","188.76","0.00","0.00","0.00","","","0.00","0.00","188.76","1163.42","83.78","1163.42","100.00","12/15/16","4996","TED'S CONEY ISLAND","C","0.00","0.00","188.76","01/24/17","SC4717","0.000","13.250"
"""SC4718.1""","""@SERVICE / SUMPTER PHARMACY""","1","","0.00","81.00","150.66","","","0.00","231.66","0.00","0.00","0.00","","","0.00","0.00","231.66","0.00","","0.00","","12/17/16","3780","SUMPTER PHARMACY","C","0.00","0.00","231.66","01/20/17","SC4718","0.000","4.500"
"""SC4720.1""","""@SERVICE / EXECUTIVE LASER WAS""","1","","0.00","68.63","127.65","","","0.00","196.28","0.00","0.00","0.00","","","0.00","0.00","196.28","","","0.00","","12/17/16","4697","EXECUTIVE LASER WASH, INC.","C","0.00","0.00","196.28","","","0.000","4.500"
"""SC4725.1""","""@SERVICE / BIG TOMATO""","1","","0.00","10.50","18.90","","0.00","0.00","29.40","0.00","0.00","0.00","","","0.00","0.00","29.40","350.00","91.60","350.00","100.00","12/20/16","3902","BIG TOMATO","C","0.00","0.00","29.40","01/09/17","SC4725","0.000","2.000"
"""SC4727.1""","""@SERVICE / HESSEN HAUS""","1","","0.00","32.63","59.82","","","0.00","92.45","0.00","0.00","0.00","","","0.00","0.00","92.45","0.00","","0.00","","12/21/16","4689","HESSEN HAUS","C","0.00","0.00","92.45","01/05/17","SC4727","0.000","2.250"
"""SC4730.1""","""@SERVICE / REXCO EQUIPMENT, IN""","1","","0.00","49.50","92.07","","","0.00","141.57","0.00","0.00","0.00","","","0.00","0.00","141.57","778.64","81.82","778.64","100.00","12/23/16","4024","REXCO EQUIPMENT, INC.","C","0.00","0.00","141.57","01/10/17","SC4730","0.000","12.000"
"""SC4732.1""","""@SERVICE / TASTY TACO""","1","","120.20","70.38","130.91","","","0.00","321.49","0.00","0.00","0.00","","","0.00","0.00","321.49","529.10","39.24","529.10","100.00","12/23/16","4940","TASTY TACO","C","0.00","0.00","321.49","01/20/17","SC4732","0.000","4.250"
"""SC4735.1""","""@SERVICE / CAT #1864""","1","","0.00","0.00","0.00","","315.00","0.00","315.00","0.00","0.00","0.00","","","0.00","0.00","315.00","0.00","","0.00","","12/28/16","18600","CAT SCALE","C","0.00","0.00","315.00","01/10/17","SC4735","0.000",""

"","","","","72838.70","21404.29","22904.79","30.45","36201.15","29.39","153408.77","87823.58","110572.98","0.00","0.00","123943.95","0.00","322340.51","-168931.74","355457.12","56.84","369693.98","12.81","","","","","0.00","0.00","153408.77"
