"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1309.16""","""@2494 / TACO JOHNÇS""","1","1","45.83","11.52","10.37","","","","0.00","67.72","24.16","127.35","0.00","","","","0.00","151.51","-83.79","110.00","38.44","181.02","16.30","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","3.000","0.750"
"""1309.2""","""@2053 / TACO JOHNÇS""","1","1","1148.69","336.98","433.34","","","","0.00","1919.01","675.28","488.18","0.00","","","","0.00","1163.46","755.55","2440.00","21.35","2440.00","52.32","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","11.500","24.250"
"""1309.3""","""@2054 / TACO JOHNÇS""","1","1","209.69","267.45","257.81","","","","0.00","734.95","14.68","241.56","0.00","","","","0.00","256.24","478.71","770.00","4.55","770.00","66.72","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","5.690","20.250"
"""1309.4""","""@2055 / TACO JOHNÇS""","1","1","467.55","256.90","277.11","","","","0.00","1001.56","76.17","127.35","0.00","","","","0.00","203.52","798.04","1225.00","18.24","1225.00","83.39","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","3.000","21.500"
"""1309.5""","""@2056 / TACO JOHNÇS""","1","1","448.35","275.01","306.92","","","","0.00","1030.28","76.17","127.35","0.00","","","","0.00","203.52","826.76","1225.00","15.90","1225.00","83.39","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","3.000","22.750"
"""1309.6""","""@2057 / TACO JOHNÇS""","1","1","536.97","304.50","496.81","","","","0.00","1338.28","477.98","615.53","0.00","","","","0.00","1093.51","244.77","1460.00","8.34","1460.00","25.10","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","14.500","19.250"
"""1309.7""","""@2058 / TACO JOHNÇS""","1","1","0.00","81.25","146.25","","2333.75","","0.00","2561.25","0.00","0.00","0.00","","","","0.00","0.00","2561.25","0.00","","0.00","","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","0.000","4.750"
"""1309.8""","""@2059 / TACO JOHNÇS""","1","1","136.89","4.41","3.97","","","","0.00","145.27","25.20","60.28","0.00","","","","0.00","85.48","59.79","150.00","3.15","150.00","43.01","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","1.420","0.250"
"""1309.9""","""@2060 / TACO JOHNÇS""","1","1","0.00","101.75","183.15","","","","0.00","284.90","42.60","59.01","0.00","","","","0.00","101.61","183.29","110.00","-159.00","110.00","7.63","04/29/08","2272","TACO JOHN'S","F","0.00","0.00","0.00","04/18/08","1309","1.390","6.250"
"""1310.1""","""@0 / MAURICES""","1","0","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","0.00","","04/01/08","71700","MAURICES","F","0.00","0.00","0.00","","","0.000",""
"""1322.1""","""@2100 / GANDER MOUNTAIN #179""","1","1","0.00","0.00","0.00","","1333.42","","0.00","1333.42","0.00","326.40","0.00","","","","0.00","326.40","1007.02","422.00","-215.98","422.00","22.65","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","6.000",""
"""1322.2""","""@PERMIT / GANDER MOUNTAIN #179""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","268.50","100.00","268.50","100.00","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","0.000",""
"""1322.4""","""@2095A / GANDER MOUNTAIN #179""","1","1","2209.79","899.61","1646.29","","1608.07","","0.00","6363.76","378.13","1695.34","0.00","","1518.00","","0.00","3591.47","2772.29","4361.00","-45.92","4360.96","17.64","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","36.650","73.500"
"""1322.5""","""@2096A / GANDER MOUNTAIN #179""","1","1","2103.21","989.79","1820.07","","483.38","","0.00","5396.45","1358.96","2808.90","0.00","","3856.00","","0.00","8023.86","-2627.41","10107.00","46.61","10107.00","20.61","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","69.700","91.250"
"""1322.6""","""@2097A / GANDER MOUNTAIN #179""","1","1","0.00","8.06","14.75","","648.29","","0.00","671.10","1702.97","3132.90","0.00","","2415.00","","0.00","7250.87","-6579.77","9516.00","92.95","9516.00","23.80","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","43.000","0.750"
"""1322.7""","""@2101 / GANDER MOUNTAIN #179""","1","1","0.00","0.00","0.00","","6501.16","","0.00","6501.16","0.00","0.00","0.00","","1089.00","","0.00","1089.00","5412.16","1090.00","-496.44","1089.00","0.00","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","0.000",""
