"15 FEB 2026","18:21:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/17 through 12/31/17",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"8269","09/20/17","MISC","77950","NAGLE SIGNS  INC.","73.10","48.21","24.89","34.05","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8280","10/20/17","MISC","77950","NAGLE SIGNS  INC.","1119.16","844.43","274.73","24.55","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Marshalltown","IA",
"8285","10/27/17","MISC","77950","NAGLE SIGNS  INC.","7648.94","5634.24","2014.70","26.34","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8298","09/30/17","MISC","77950","NAGLE SIGNS  INC.","72.13","61.36","10.77","14.93","13.86","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8306","10/10/17","MISC","77950","NAGLE SIGNS  INC.","589.95","509.52","80.43","13.63","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8320","10/28/17","MISC","77950","NAGLE SIGNS  INC.","288.72","220.98","67.74","23.46","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8337","10/28/17","MISC","77950","NAGLE SIGNS  INC.","551.20","472.16","79.04","14.34","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8346","10/27/17","MISC","77950","NAGLE SIGNS  INC.","49.70","39.76","9.94","20.00","19.54","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8356","11/03/17","MISC","5188","DENNIS DHAININ","431.19","0.00","431.19","100.00","","HOUSE","","","","","","DEFAULT","DENNIS DHAININ","URBANDALE","IA",
"8375","11/22/17","MISC","77950","NAGLE SIGNS  INC.","7.35","5.88","1.47","20.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8393","11/29/17","MISC","77950","NAGLE SIGNS  INC.","69.65","63.09","6.56","9.42","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8403","12/16/17","MISC","77950","NAGLE SIGNS  INC.","2454.96","1762.17","692.79","28.22","","HOUSE","","","","","","12","NAGLE SIGNS, INC.","MARSHALLTOWN","IA",
"8408","12/01/17","MISC","77950","NAGLE SIGNS  INC.","270.00","186.65","83.35","30.87","","HOUSE","","","","","","120","KUM & GO- NAGLE SIGNS","WAUKEE","IA",
"8426","12/15/17","MISC","2906","AMERICAN MARKING","67.11","37.12","29.99","44.69","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8427","12/28/17","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","768.59","510.69","39.92","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8430","12/27/17","MISC","5198","TASTY TACO'S","1042.27","453.65","588.62","56.47","","HOUSE","","","","","","DEFAULT","TASTY TACO'S","ANKENY","IA",
"8442","12/22/17","MISC","77950","NAGLE SIGNS  INC.","187.08","84.72","102.36","54.71","","HOUSE","","","","","","163","KUM & GO - NAGLE SIGNS","WAUKEE","IA",
"8462","12/30/17","MISC","77950","NAGLE SIGNS  INC.","35.65","26.39","9.26","25.97","","HOUSE","","","","","","91","KUM & GO # 165","ANKENY","IA",
"","","MISC","","Product Totals","38083.18","32830.84","5252.34","13.79","58.40","HOUSE",

"7880","08/17/17","MONMNT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","18894.00","14744.13","4149.87","21.96","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"7880","08/17/17","MONMNT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","3848.00","2804.14","1043.86","27.13","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"8162","07/31/17","MONMNT","77950","NAGLE SIGNS  INC.","6632.75","5044.44","1588.31","23.95","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
