"15 FEB 2026","18:12:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/08 through 12/31/08",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",
"1250","01/30/08","OUTS","1250.5","","150.00","0.00","150.00","100.00","","","","","","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
"1250","01/30/08","OUTS","1250.6","","751.06","0.00","751.06","100.00","","","","","","","","112850","THE MEMBERS GROUP","JOEP","","","","","","DEFAULT","THE MEMBERS GROUP","Clive","IA",
"1250","","","Invoice Totals","","11740.06","9400.13","2339.93","19.93","0.00","653.94","2168.40","2683.83","19.21","","","112850","THE MEMBERS GROUP","JOEP","","","","","",

"1282","03/19/08","PYLON","1282.1","1595A","3968.00","4101.51","-133.51","-3.36","212.00","1292.10","937.82","1218.38","23.03","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","CHANNL","1282.2","1596","2100.00","1711.32","388.68","18.51","","","1120.60","1638.12","31.59","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","CHANNL","1282.3","1597","730.00","579.00","151.00","20.68","","","256.24","286.76","10.64","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","CHANNL","1282.4","1598","1350.00","766.41","583.59","43.23","","","1072.08","1465.81","26.86","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","CHANNL","1282.5","1599","1350.00","601.26","748.74","55.46","","","1072.08","1465.81","26.86","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","MISC","1282.6","1600","1880.00","1476.86","403.14","21.44","","","1207.89","1832.69","34.09","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","MISC","1282.7","1601","1225.00","592.13","632.87","51.66","","","203.52","275.60","26.15","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","MISC","1282.8","1602","1225.00","807.16","417.84","34.11","","","203.52","275.60","26.15","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","INT","1282.9","1603","150.00","33.38","116.62","77.75","","","130.28","170.11","23.41","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","INT","1282.10","1604","100.00","42.60","57.40","57.40","","","101.61","130.78","22.30","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","INT","1282.11","1605","110.00","100.52","9.48","8.62","","","132.61","147.94","10.36","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
"1282","03/19/08","MISC","1282.12","1606","2201.09","3039.93","-838.84","-38.11","","","0.00","","","","","110100","TACO JOHN'S OF IOWA","BRIANT","","","","","","6","TACO JOHN´S","DES MOINES","IA",
