"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/10"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""SC2001.1""","""@REPAIR / GREENBRIAR""","1","","31.78","151.25","136.13","","","","1.91","321.07","0.00","0.00","0.00","","","","0.00","0.00","321.07","0.00","","0.00","","05/26/10","2793","GREENBRIAR","C","0.00","0.00","321.07","11/23/11","SC2001","0.000","9.500"
"""SC2073.1""","""@SERVICE / ULTIMATE AUTO WASH""","1","","0.00","43.00","65.70","","","","0.00","108.70","0.00","0.00","0.00","","","","0.00","0.00","108.70","0.00","","0.00","","09/08/10","117200","ULTIMATE AUTO WASH","C","0.00","0.00","108.70","01/12/11","SC2073","0.000","3.000"
"""SC2089.1""","""@SERVICE / NAPA AUTO & TRUCK P""","1","","0.00","16.25","29.25","","","","0.00","45.50","0.00","0.00","0.00","","","","0.00","0.00","45.50","0.00","","0.00","","09/25/10","2530","NAPA AUTO & TRUCK PARTS","C","0.00","0.00","45.50","03/04/11","SC2089","0.000","1.250"
"""SC2126.1""","""@SERVICE / HUXLEY BUSINESS PAR""","1","","0.00","22.50","40.50","","","","0.00","63.00","0.00","0.00","0.00","","","","0.00","0.00","63.00","0.00","","0.00","","11/04/10","3029","CITY OF HUXLEY","C","0.00","0.00","63.00","01/20/11","SC2126","0.000","1.250"
"""SC2132.1""","""@SERVICE / PERKINS""","1","1","0.00","13.50","24.30","","","","5.12","42.92","0.00","0.00","0.00","","","","0.00","0.00","42.92","0.00","","0.00","","11/09/10","3035","PERKINS","C","0.00","0.00","42.92","12/31/10","SC2132","0.000","0.750"
"""SC2147.1""","""@SERVICE / CHARLEYÇS GRILLED S""","1","","0.00","0.00","0.00","","202.74","","0.00","202.74","0.00","0.00","0.00","","","","0.00","0.00","202.74","0.00","","0.00","","11/24/10","2925","CHARLEY'S GRILLED SUBS","C","0.00","0.00","202.74","01/07/11","SC2147","0.000",""
"""SC2152.1""","""@SERVICE / ACME ELECTRIC""","1","","0.00","0.00","0.00","","50.00","","0.00","50.00","0.00","0.00","0.00","","","","0.00","0.00","50.00","0.00","","0.00","","12/03/10","1800","ACME ELECTRIC","C","0.00","0.00","50.00","04/18/11","SC2152","0.000",""
"""SC2161.1""","""@SERVICE / GODFATHERÇS PIZZA""","1","","0.00","26.00","46.80","","","","0.00","72.80","0.00","0.00","0.00","","","","0.00","0.00","72.80","0.00","","0.00","","12/11/10","3064","GODFATHER'S PIZZA","C","0.00","0.00","72.80","","","0.000","2.000"
"""SC2161.2""","""@8538 / GODFATHERÇS PIZZA""","1","","30.28","39.00","70.20","","250.00","","0.00","389.48","193.54","326.20","0.00","","250.00","","0.00","769.74","-380.26","1494.53","73.94","1427.99","46.10","12/30/10","3064","GODFATHER'S PIZZA","C","0.00","0.00","389.48","01/05/11","SC2161","5.000","7.000"
"""SC2167.1""","""@SERVICE / NATIONWIDE""","1","","0.00","9.00","8.10","","0.00","","13.56","30.66","0.00","0.00","0.00","","","","0.00","0.00","30.66","0.00","","0.00","","12/22/10","2139","CRE NATIONWIDE","C","0.00","0.00","30.66","01/19/11","SC2167","0.000","22.000"

