Code,Description,Account,Rate,S/U,"Jur
State","Jur
Type",Tax Cap,"Taxable
Amt Cap",,Assoc Tax,"Total 
Rate"
XX,IA84S,84 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA85,IA 85 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA85S,IA 85 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA86,86 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA86S,86 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA87,87 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA87S,87 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA88,88 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA88S,88 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA89,89 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA89S,89 School,2140,1.0000,S,IA,County,,,,,1.0000
IA90,90 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA90S,90 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA91,91 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA91O,IA 91 1% option,2140,1.0000,S,IA,Local,,,,IA6,7.0000
IA91OP,91 Option Tax,2140,0.0000,S,IA,County,,,,IA6,6.0000
IA92,92 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA92S,92 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA93,93 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA93S,93 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA94,DO NOT USE NEW RT 7.1.09,2140,0.5000,S,IA,County,,,,IA6,6.5000
IA94O,94 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA94S,94 School Tax,2140,0.5000,S,IA,County,,,,,0.5000
IA95,95 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA95S,95 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA96,96 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA96S,96 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA97,97 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA97S,97 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA98,98 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA98S,98 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA99,99 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA99S,99 School,2140,1.0000,S,IA,County,,,,,1.0000
IAREMO,REMODEL SIGNIFICANT IA,2140,7.0000,U,IA,Local,,,,,7.0000
XX,IAUSE,DO NOT USE,2140,5.0000,U,IA,State,,,,IA77S,6.0000
XX,IAUSE6,6% Iowa Use Tax,2140,6.0000,U,IA,State,,,,,6.0000
IAUSTX,Iowa 7 % USE,2140,7.0000,S,IA,Local,,,,,7.0000
IC,INTERSTATE COMMERCE,2140,0.0000,S,IA,,,,,,0.0000
IL,ILLINOIS SALES,2140,6.2500,S,IL,State,,,,,6.2500
ILLASA,La Salle IL Sales Tax,2140,7.5000,S,IL,Local,,,,,7.5000
XX,ILNORM,DO NOT USE,2140,1.2500,S,IL,,,,,IL,7.5000
ILRESA,IL RESALE,2140,0.0000,S,IL,Local,,,,,0.0000
ILROCU,Rochelle IL Use tax Warranty,2140,7.0000,U,IL,Local,,,,,7.0000
XX,ILSCHA,DO NOT USE,2140,2.5000,S,IL,,,,,IL,8.7500
ILUSE,IL use tax,2140,6.2500,U,IL,State,,,,,6.2500
XX,KS,DO NOT USE OLD RATE,2140,5.3000,S,KS,State,,,,,5.3000
KSAUGU,Augusta KS,2140,0.2250,S,KS,Local,,,,KSSAL,6.7250
KSBUTL,Butler County KS,2140,0.2500,S,KS,County,,,,,0.2500
KSCITY,Kansas City Kansas,2140,1.6250,S,KS,Local,,,,KSSAL. KSWYAN,9.1250
KSCOLB,Colby Kansas,2140,0.7500,S,KS,Local,,,,KSTHOM. KSSAL,9.0000
KSEDGE,EDGERTON KS,2140,8.9750,S,KS,Local,,,,,8.9750
KSELDO,El Dorado KS,2140,1.0000,S,KS,Local,,,,KSSAL,7.5000
KSFTRI,Fort Riley Kansas,2140,1.0000,S,,,,,,KSSAL,7.5000
KSGARD,GARDNER KANSAS,2140,1.5000,S,KS,Local,,,,KSJOHN. KSSAL,9.4750
KSGREE,Greenwood County KS,2140,7.5000,S,KS,County,,,,,7.5000
KSJOHN,Johnston County KS,2140,1.4750,S,KS,County,,,,,1.4750
KSLENS,Lenexa KS,2140,9.3500,S,KS,Local,,,,,9.3500
KSLIBS,Liberal KS Sales,2140,9.2500,S,KS,Local,,,,,9.2500
KSMADS,Madison KS,2140,7.5000,S,KS,Local,,,,,7.5000
KSOLAT,OLATHE KS SALES TAX,2140,1.5000,S,KS,Local,,,,KSJOHN. KSSAL,9.4750
KSOVER,Overland Park KS,2140,1.1250,S,KS,Local,,,,KSJOHN. KSSAL,9.1000
KSPRAI,Prairie Village Sales Tax,2140,1.0000,S,KS,Local,,,,KSJOHN. KSSAL,8.9750
KSSAL,KANSAS SALES TAX,2140,6.5000,S,KS,State,,,,,6.5000
KSSALI,Salina KS Sales Tax,2140,9.2500,S,KS,Local,,,,,9.2500
KSSALU,SALINA KS USE TAX,2140,8.0500,U,KS,Local,,,,,8.0500
KSSHAW,SHAWNEE KANSAS,2140,1.2500,S,KS,Local,,,,KSJOHN. KSSAL,9.2250
KSTHOM,Thomas County,2140,1.7500,S,KS,Local,,,,,1.7500
KSTOPE,Topeka Kansas,2140,2.6500,S,KS,Local,,,,KSSAL,9.1500
KSWICH,Wichita Kansas Sales Tax,2140,1.0000,S,KS,Local,,,,KSSAL,7.5000
KSWYAN,Wyandotte Kansas,2140,1.0000,S,KS,County,,,,,1.0000
XX,MN,DO NOT USE OLD RATE,2140,6.5000,S,MN,State,,,,,6.5000
MNBAX,Baxter Sales Tax,2140,0.5000,S,,,,,,MNSLS,7.3750
MNBEMI,BEMIDJI MINNESOTA,2140,0.5000,S,MN,County,,,,MNSLS,7.3750
MNBLS,Blaine MN Sales Tax,2140,8.1250,S,MN,Local,,,,,8.1250
MNDAK,Dakota MN Tax,2140,0.0000,S,,,,,,MNSLS. MNTRAN,7.1250
MNDUL,Duluth City Tax,2140,1.0000,S,MN,Local,,,,MNSLS,7.8750
MNHEN,Hennepin County Tax,2140,0.1500,S,MN,County,,,,MNSLS. MNTRAN,7.2750
MNHENU,Hennepin Use Tax,2140,0.1500,U,MN,County,,,,MNUSE. MNTRUS,7.2750
