wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10048.1,77950,"NAGLE SIGNS, INC.","ALTOONA, IA",103.07,265.75,397.46,0.0,0.0,766.28,,,976.49,210.21,21.53,MISC,RESALE,,,2021-02-11,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10049.1,77950,"NAGLE SIGNS, INC.","MARSHALLTOWN, IA",785.02,625.26,797.86,0.0,0.0,2208.14,,,2981.07,772.93,25.93,MISC,RESALE,,,2021-02-28,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1005.1,63200,KERKHOFF CHIROPRACTIC,"Waukee, IA",0.0,0.0,0.0,75.0,0.0,75.0,,,150.0,75.0,50.0,BANNER,IA25,,,2007-05-30,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10050.1,18600,CAT SCALE,"WALCOTT, IA",2668.2,3.75,3.49,0.0,0.0,2675.44,81.2,,4872.0,2196.56,45.09,PYLON,IA77O7,Adam Fasselius,30014,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10051.1,4815,PRAIRIE MEADOWS,"ALTOONA, IA",66.75,769.67,1425.05,0.0,0.0,2261.47,3251.44,,3251.44,989.97,30.45,AWNING,IA77O7,Adam Fasselius,30936,2021-04-29,Fin Closed,AWNNON,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10052.1,18600,CAT SCALE,"HUBBARD, OH",7758.82,34.13,31.75,1800.0,0.0,9624.7,12960.0,,12960.0,3335.3,25.74,PYLON,IC,,31035,2021-01-12,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10053.1,18600,CAT SCALE,"MERIDIAN, MS",33546.32,152.7,142.02,2650.0,0.0,36491.04,56411.0,,56411.0,19919.96,35.31,PYLON,IC,,31044,2021-02-03,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10053.2,18600,CAT SCALE,"MERIDIAN, MS",3954.06,569.21,564.28,0.0,0.0,5087.55,,,8269.0,3181.45,38.47,MISC,IC,,,2021-02-03,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10054.1,3178,SOUTH WATER SIGNS,"DES MOINES, IA",3.8,106.13,196.83,0.0,0.0,306.76,688.53,,688.53,381.77,55.45,INSTL,IA77O7,Adam Fasselius,31016,2021-01-21,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10055.1,4455,HUBBELL PROPERTY MANAGEMENT,"WEST DES MOINES, IA",108.88,51.63,72.43,0.0,0.0,232.94,562.02,,562.02,329.08,58.55,VINYL,IA25O7,Adam Fasselius,30953,2021-01-20,Fin Closed,VINYL,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
